In |Black   |             Changed by black put              |White   |             Changed by white put              |St.St |Ma.Dsc|
dex| Movable|    1|    2|    3|    4|    5|    6|    7|    8| Movable|    1|    2|    3|    4|    5|    6|    7|    8|B|W|Df|B|W|Df|
---+--------+-----+-----+-----+-----+-----+-----+-----+-----+--------+-----+-----+-----+-----+-----+-----+-----+-----+-+-+--+-+-+--+
0086 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 1 3 -2 0 0  0 BEWWEWWW
0087 00001000 (0,0) (0,0) (0,0) (0,0) (2,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 0 4 -4 1 0  1 WBWWEWWW
0088 00001000 (0,0) (0,0) (0,0) (0,0) (2,0) (0,0) (0,0) (0,0) 20000000 (0,1) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 0 3 -3 1 1  0 EBWWEWWW
0089 00001000 (0,0) (0,0) (0,0) (0,0) (2,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 2 3 -1 1 0  1 BBWWEWWW
0090 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 0 5 -5 0 0  0 WWEWEWWW
0091 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 0 3 -3 0 0  0 EWEWEWWW
0092 00100000 (0,0) (0,0) (1,0) (0,0) (0,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 1 3 -2 1 0  1 BWEWEWWW
0093 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 0 4 -4 0 0  0 WEEWEWWW
0094 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 0 3 -3 0 0  0 EEEWEWWW
0095 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 1 3 -2 0 0  0 BEEWEWWW
0096 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 00100000 (0,0) (0,0) (1,0) (0,0) (0,0) (0,0) (0,0) (0,0) 0 4 -4 0 1 -1 WBEWEWWW
0097 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 0 3 -3 0 0  0 EBEWEWWW
0098 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 2 3 -1 0 0  0 BBEWEWWW
0099 00001000 (0,0) (0,0) (0,0) (0,0) (1,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 0 5 -5 1 0  1 WWBWEWWW
